Id,Expected
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,2
10,2
11,0
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,2
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,0
62,2
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,0
88,2
89,0
90,0
91,1
92,2
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,2
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,1
121,0
122,2
123,0
124,2
125,1
126,2
127,0
128,2
129,2
130,2
131,0
132,2
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,2
142,1
143,0
144,0
145,0
146,0
147,0
148,2
149,0
150,1
151,2
152,2
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,2
171,0
172,2
173,1
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,2
199,0
200,1
201,0
202,2
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,2
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,2
249,2
250,2
251,0
252,0
253,0
254,2
255,0
256,0
257,0
258,2
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,2
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,0
287,2
288,1
289,1
290,0
291,1
292,2
293,1
294,1
295,2
296,0
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,2
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,2
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,2
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,2
360,2
361,0
362,0
363,0
364,0
365,2
366,1
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,0
386,0
387,1
388,2
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,1
409,2
410,1
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,2
429,0
430,0
431,2
432,1
433,0
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,2
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,1
453,2
454,1
455,0
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,1
466,1
467,1
468,0
469,0
470,1
471,0
472,2
473,1
474,1
475,2
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,2
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,2
521,2
522,0
523,0
524,2
525,0
526,1
527,0
528,0
529,1
530,2
531,0
